,pm10,pm25,so2,co,o3,no2,categori
313,0.13414634146341467,0.3478260869565218,0.4875,0.19512195121951223,0.08391608391608393,0.09677419354838712,1
314,0.1524390243902439,0.3416149068322982,0.4875,0.3414634146341463,0.04195804195804195,0.09677419354838712,1
315,0.13414634146341467,0.39751552795031064,0.49999999999999994,0.29268292682926833,0.1118881118881119,0.14516129032258068,1
316,0.25609756097560976,0.5465838509316772,0.5499999999999999,0.2682926829268293,0.20279720279720276,0.2419354838709678,0
317,0.3231707317073171,0.6832298136645962,0.5125,0.4390243902439025,0.20279720279720276,0.1774193548387097,0
318,0.3231707317073171,0.6956521739130435,0.5374999999999999,0.3414634146341463,0.20279720279720276,0.30645161290322587,0
319,0.25609756097560976,0.48447204968944113,0.49999999999999994,0.24390243902439027,0.23776223776223776,0.1935483870967742,1
320,0.24390243902439024,0.5279503105590062,0.5249999999999999,0.24390243902439027,0.20979020979020985,0.2419354838709678,1
321,0.25609756097560976,0.44720496894409945,0.4875,0.3414634146341463,0.09790209790209789,0.22580645161290325,1
322,0.22560975609756095,0.40372670807453415,0.4875,0.3170731707317074,0.08391608391608393,0.12903225806451613,1
323,0.14024390243902443,0.30434782608695654,0.4875,0.14634146341463414,0.02797202797202797,0.06451612903225809,1
324,0.09146341463414634,0.2608695652173913,0.47500000000000003,0.12195121951219512,0.034965034965034975,0.09677419354838712,1
325,0.1280487804878049,0.3416149068322982,0.4875,0.14634146341463414,0.07692307692307693,0.14516129032258068,1
326,0.22560975609756095,0.4347826086956521,0.49999999999999994,0.36585365853658536,0.1608391608391609,0.2096774193548387,1
327,0.2621951219512195,0.48447204968944113,0.5125,0.2682926829268293,0.1888111888111888,0.27419354838709675,1
328,0.21341463414634143,0.3850931677018633,0.4875,0.29268292682926833,0.20279720279720276,0.2096774193548387,1
329,0.23780487804878048,0.44099378881987583,0.4875,0.3902439024390244,0.1888111888111888,0.2580645161290323,1
330,0.15853658536585366,0.39130434782608703,0.49999999999999994,0.29268292682926833,0.09090909090909091,0.3548387096774193,1
331,0.20121951219512196,0.3478260869565218,0.5125,0.24390243902439027,0.11888111888111891,0.2419354838709678,1
332,0.0853658536585366,0.29192546583850937,0.26250000000000007,0.12195121951219512,0.05594405594405594,0.14516129032258068,1
333,0.12195121951219515,0.3229813664596273,0.26250000000000007,0.21951219512195122,0.09790209790209789,0.22580645161290325,1
334,0.20731707317073172,0.40993788819875776,0.275,0.2682926829268293,0.08391608391608393,0.2903225806451613,1
335,0.17073170731707316,0.3850931677018633,0.30000000000000004,0.29268292682926833,0.08391608391608393,0.4032258064516129,1
336,0.23170731707317072,0.4658385093167702,0.2875000000000001,0.5609756097560976,0.05594405594405594,0.6290322580645161,1
337,0.2682926829268293,0.5590062111801243,0.35,0.3902439024390244,0.09790209790209789,0.370967741935484,0
338,0.18292682926829268,0.3354037267080746,0.3125,0.24390243902439027,0.02097902097902099,0.30645161290322587,1
339,0.12195121951219515,0.30434782608695654,0.3625000000000001,0.12195121951219512,0.02797202797202797,0.2096774193548387,1
340,0.23170731707317072,0.48447204968944113,0.3125,0.46341463414634143,0.06293706293706294,0.5806451612903227,1
341,0.12195121951219515,0.30434782608695654,0.3875,0.09756097560975613,0.07692307692307693,0.11290322580645165,1
342,0.17682926829268292,0.36645962732919257,0.3125,0.21951219512195122,0.034965034965034975,0.2903225806451613,1
343,0.24390243902439024,0.49068322981366475,0.4000000000000001,0.36585365853658536,0.06993006993006995,0.4838709677419355,1
344,0.23780487804878048,0.45962732919254656,0.47500000000000003,0.21951219512195122,0.13986013986013984,0.2419354838709678,1
345,0.3048780487804878,0.6459627329192547,0.3625000000000001,0.36585365853658536,0.13986013986013984,0.467741935483871,0
346,0.28658536585365857,0.5838509316770186,0.47500000000000003,0.21951219512195122,0.18181818181818182,0.22580645161290325,0
347,0.2621951219512195,0.515527950310559,0.41250000000000003,0.19512195121951223,0.17482517482517484,0.2096774193548387,1
348,0.25,0.4720496894409938,0.37500000000000006,0.17073170731707318,0.09790209790209789,0.22580645161290325,1
349,0.13414634146341467,0.30434782608695654,0.275,0.09756097560975613,0.06293706293706294,0.09677419354838712,1
350,0.14024390243902443,0.3354037267080746,0.26250000000000007,0.12195121951219512,0.04195804195804195,0.11290322580645165,1
351,0.12195121951219515,0.2857142857142858,0.2875000000000001,0.09756097560975613,0.02097902097902099,0.1774193548387097,1
352,0.06707317073170732,0.2422360248447205,0.2375,0.048780487804878064,0.034965034965034975,0.04838709677419356,1
353,0.04878048780487805,0.24844720496894412,0.26250000000000007,0.048780487804878064,0.09090909090909091,0.03225806451612906,1
354,0.20121951219512196,0.40993788819875776,0.275,0.19512195121951223,0.1048951048951049,0.2580645161290323,1
355,0.2195121951219512,0.4347826086956521,0.45,0.24390243902439027,0.1118881118881119,0.32258064516129037,1
356,0.21341463414634143,0.40372670807453415,0.24999999999999994,0.24390243902439027,0.18181818181818182,0.2580645161290323,1
357,0.23780487804878048,0.48447204968944113,0.2375,0.36585365853658536,0.14685314685314682,0.370967741935484,1
358,0.17682926829268292,0.36645962732919257,0.41250000000000003,0.14634146341463414,0.06993006993006995,0.2419354838709678,1
359,0.1524390243902439,0.30434782608695654,0.2875000000000001,0.12195121951219512,0.05594405594405594,0.1935483870967742,1
360,0.06707317073170732,0.18012422360248448,0.24999999999999994,0.21951219512195122,0.034965034965034975,0.2580645161290323,2
361,0.15853658536585366,0.25465838509316774,0.3125,0.21951219512195122,0.06293706293706294,0.2580645161290323,1
